,name,addr,tel,etc
138,채움 생선구이·조림,청주시 상당구 영운천로 153번길 36,8833870,갈치구이
139,단고을약선요리,청주시 상당구 영운천로 153번길 36,4233443,뽕잎밥
140,성원마늘약선요리,청주시 상당구 영운천로 153번길 36,4218777,마늘약선정식
141,벌집식당,청주시 상당구 영운천로 153번길 36,4222872,곤드레솥밥
142,장다리식당,청주시 상당구 영운천로 153번길 36,4233960,마늘정식
143,전원회관,청주시 상당구 영운천로 153번길 36,4233131,마늘돌솥정식
144,고향집두부,청주시 상당구 영운천로 153번길 36,4210150,해물순두부
145,영상강가든,청주시 상당구 영운천로 153번길 36,4230573,"산채더덕정식, 민물매운탕, 올갱이해장국"
146,단양팔각정,청주시 상당구 영운천로 153번길 36,4228165,팔각정수라상
147,대교약선요리,청주시 상당구 영운천로 153번길 36,4213599,"버섯전골, 마늘정식"
148,계절그리기,청주시 상당구 영운천로 153번길 36,4228836,곤드레밥
149,즐거운나의집돌솥밥,청주시 상당구 영운천로 153번길 36,2985285,돌솥정식
150,사또가든,청주시 상당구 영운천로 153번길 36,2127072,청국장
151,마중가는길,청주시 상당구 영운천로 153번길 36,2881259,가마솥밥한정식
152,오소담,청주시 상당구 영운천로 153번길 36,2217330,두부정식
153,김가네더덕밥,청주시 상당구 영운천로 153번길 36,2360789,더덕한정식
154,신항도복집,청주시 상당구 영운천로 153번길 36,2877192,복지리
155,활력추어탕,청주시 상당구 영운천로 153번길 36,2941020,추어탕
156,황소고집,청주시 상당구 영운천로 153번길 36,2115550,청국장돌솥밥정식
157,돌뫼마을,청주시 상당구 영운천로 153번길 36,2134204,우리콩손두부전골
158,이티성영토,청주시 상당구 영운천로 153번길 36,2960801,곤드레밥정식
159,산골추어탕,청주시 상당구 영운천로 153번길 36,2932929,마추어탕
160,상록회관식당,청주시 상당구 영운천로 153번길 36,2547810,한정식
161,호정한정식,청주시 상당구 영운천로 153번길 36,2974567,한정식
162,소연재,청주시 상당구 영운천로 153번길 36,2846888,한정식
163,두레,청주시 상당구 영운천로 153번길 36,2603456,시골밥상
164,사리원,청주시 상당구 영운천로 153번길 36,2398878,불고기
165,장호식당,청주시 상당구 영운천로 153번길 36,2140255,짜글이찌개
166,25시가든,청주시 상당구 영운천로 153번길 36,2120300,된장찌개
167,이석가마솥추어탕,청주시 상당구 영운천로 153번길 36,2125292,추어탕
168,장안수제숯불갈비,청주시 상당구 영운천로 153번길 36,2143607,집된장찌개
169,나경한정식,청주시 상당구 영운천로 153번길 36,2732900,한정식
170,곤드레가마솥추어탕,청주시 상당구 영운천로 153번길 36,2663292,추어탕
171,강촌설렁탕,청주시 상당구 영운천로 153번길 36,2720111,설렁탕
172,명동보리밥,청주시 상당구 영운천로 153번길 36,2363392,보리밥정식
173,소보양본가,청주시 상당구 영운천로 153번길 36,2188254,"해장국, 소보양탕, 소보양전골"
174,참나무골,청주시 상당구 영운천로 153번길 36,2145292,"점심특선, 오리회전구이"
175,명품순두부,청주시 상당구 영운천로 153번길 36,2567070,순두부찌개
176,방아다리추어탕,청주시 상당구 영운천로 153번길 36,2507707,"추어탕, 한방추어탕"
177,청주본가운천직영점,청주시 상당구 영운천로 153번길 36,2716080,갈비탕
178,청주추어탕강내점,청주시 상당구 영운천로 153번길 36,2339713,추어탕
179,이가네참부대찌개,청주시 상당구 영운천로 153번길 36,2880863,부대찌개
180,참살이오리전문점,청주시 상당구 영운천로 153번길 36,2875233,"오리백숙, 오리로스, 
영양돌솥밥"
181,바로정,청주시 상당구 영운천로 153번길 36,2110567,"불고기정식, 순두부정식, 설렁탕"
182,콩가내,청주시 상당구 영운천로 153번길 36,2172996,"곤드레밥, 
들깨순두부백반"
183,흙에서,청주시 상당구 영운천로 153번길 36,2370018,쌀밥정식
184,명산가든,청주시 상당구 영운천로 153번길 36,8517208,산채정식
185,영화식당,청주시 상당구 영운천로 153번길 36,8464500,산채정식
186,퓨전한정식뜰안채,청주시 상당구 영운천로 153번길 36,8483351,한정식
187,만나밥집,청주시 상당구 영운천로 153번길 36,8529590,콩나물해장국
188,금가능이옥,청주시 상당구 영운천로 153번길 36,8523338,능이버섯전골
189,사또본가,청주시 상당구 영운천로 153번길 36,8547744,청국장
190,황포돛대 교현점,청주시 상당구 영운천로 153번길 36,8522203,산우럭매운탕
191,천년향,청주시 상당구 영운천로 153번길 36,8441009,약초체질밥
192,강계화청국장,청주시 상당구 영운천로 153번길 36,8555113,청국장
193,오리장터,청주시 상당구 영운천로 153번길 36,8529255,연잎밥정식
194,꼬마각시 금릉점,청주시 상당구 영운천로 153번길 36,8511297,돌솥영양밥
195,수안보파크호텔탄금대,청주시 상당구 영운천로 153번길 36,8462331,"된장찌개, 김치찌개, 해물된장찌개"
196,장수밥상,청주시 상당구 영운천로 153번길 36,8541331,장수밥상
197,원뜰,청주시 상당구 영운천로 153번길 36,6486788,약채밥상
198,황금연못,청주시 상당구 영운천로 153번길 36,6475686,돌솥곤드레밥
199,풀향기,청주시 상당구 영운천로 153번길 36,6535491,곤드레정식
200,대보명가,청주시 상당구 영운천로 153번길 36,6433050,약초밥상
201,가람,청주시 상당구 영운천로 153번길 36,6512264,더덕뽕잎돌솥정식
202,산아래,청주시 상당구 영운천로 153번길 36,6463233,친환경우렁쌈밥
203,대추나무집,청주시 상당구 영운천로 153번길 36,6450003,쇠고기로스정식
204,황금들,청주시 상당구 영운천로 153번길 36,6451729,약초한정식
205,금왕,청주시 상당구 영운천로 153번길 36,6459100,올갱이해장국
206,청풍황금떡갈비,청주시 상당구 영운천로 153번길 36,6476300,"울금떡갈비정식, 버섯불고기정식"
207,자연쌈채,청주시 상당구 영운천로 153번길 36,6450646,"쌈정식, 코다리정식, 약채정식"
208,우돈명가,청주시 상당구 영운천로 153번길 36,6528400,"약선버섯전골, 약선수육, 약선곱창전골"
209,광성추어탕,청주시 상당구 영운천로 153번길 36,6446434,"추어탕, 추어튀김, 추어만두"
210,별법왕해물찜·탕,청주시 상당구 영운천로 153번길 36,5442124,해물찜
211,화성가든,청주시 상당구 영운천로 153번길 36,5442035,대추한정식
212,신촌가든,청주시 상당구 영운천로 153번길 36,5430686,자연산버섯찌개
213,성별식당,청주시 상당구 영운천로 153번길 36,5438007,청국장
214,송화식당,청주시 상당구 영운천로 153번길 36,5432501,돌솥정식
215,신라식당,청주시 상당구 영운천로 153번길 36,5442869,백반
216,기사님식당,청주시 상당구 영운천로 153번길 36,5433729,청국장백반
217,소정마을,청주시 상당구 영운천로 153번길 36,7338841,황태구이백반
218,새강변가든 ,청주시 상당구 영운천로 153번길 36,7333678,인삼메기탕
219,금옥식당,청주시 상당구 영운천로 153번길 36,7338375,호박꼬지찌개
220,여정,청주시 상당구 영운천로 153번길 36,7328833,한정식
221,옛장터숯불갈비,청주시 상당구 영운천로 153번길 36,7328992,가정식백반
222,과수원가든,청주시 상당구 영운천로 153번길 36,7320909,곤드레밥
223,마당넓은집,청주시 상당구 영운천로 153번길 36,7336350,비빔밥
224,배바우손두부,청주시 상당구 영운천로 153번길 36,7322137,올갱이두부전골
225,옥천해뜨는집가든,청주시 상당구 영운천로 153번길 36,7331780,돼지석갈비
226,지선생쌈촌,청주시 상당구 영운천로 153번길 36,7333292,"영양돌솥밥정식, 우렁쌈밥, 삼겹쌈밥"
227,보성복전문,청주시 상당구 영운천로 153번길 36,7434985,복매운탕
228,오아시스가든,청주시 상당구 영운천로 153번길 36,7448736,민물매운탕
229,사랑채,청주시 상당구 영운천로 153번길 36,7456004,순두부찌개
230,한천가든,청주시 상당구 영운천로 153번길 36,7425056,민물매운탕
231,장수식당,청주시 상당구 영운천로 153번길 36,7420177,청국장
232,함지박소머리국밥,청주시 상당구 영운천로 153번길 36,8365675,소머리국밥
233,본가,청주시 상당구 영운천로 153번길 36,8365545,갈비탕
234,향토식당,청주시 상당구 영운천로 153번길 36,8363060,자연산버섯찌개
235,산촌묵밥,청주시 상당구 영운천로 153번길 36,8381097,"연육, 도토리묵밥"
236,칠갑산가든,청주시 상당구 영운천로 153번길 36,8369881,"능이오리백숙, 자연산버섯찌개, 김치찌개, 된장찌개"
